Id,Nombre Establecimiento,Id Sector Económico,Descripción del Sector Económico,Latitud,Longitud,Área Geográfica
"2282670","ACABADOS VAME","434211","Comercio al por mayor de cemento, tabique y grava","19.49058806","-99.04775629","Nezahualcóyotl, Nezahualcóyotl"
"8924599","ARVALLE","434221","Comercio al por mayor de materiales metálicos para la construcción y la manufactura","19.48842153","-99.05508633","Nezahualcóyotl, Nezahualcóyotl"
"2034501","BODEGA","434311","Comercio al por mayor de desechos metálicos","19.48832076","-99.05556059","Nezahualcóyotl, Nezahualcóyotl"
"7764602","CARPINTERIA ENCINA","434224","Comercio al por mayor de madera para la construcción y la industria","19.49260268","-99.06051176","Nezahualcóyotl, Nezahualcóyotl"
"2084183","DEPOSITO DENTAL FENIX","435313","Comercio al por mayor de mobiliario, equipo e instrumental médico y de laboratorio","19.48531016","-99.04761385","Nezahualcóyotl, Nezahualcóyotl"
"8394728","EL CHINITO","435312","Comercio al por mayor de artículos y accesorios para diseño y pintura artística","19.48788435","-99.04755248","Nezahualcóyotl, Nezahualcóyotl"
"7765296","IMPRENTA Y TAZAS","435312","Comercio al por mayor de artículos y accesorios para diseño y pintura artística","19.48800608","-99.05337238","Nezahualcóyotl, Nezahualcóyotl"
"9130846","MATERIAL ELECTRICO SAVINO","434225","Comercio al por mayor de equipo y material eléctrico","19.48733837","-99.04581907","Nezahualcóyotl, Nezahualcóyotl"
"9100452","MATERIAL ELECTRICO SAVINO","434225","Comercio al por mayor de equipo y material eléctrico","19.48740065","-99.04579111","Nezahualcóyotl, Nezahualcóyotl"
"7764724","MATERIALES DE CONSTRUCCION LEO","434211","Comercio al por mayor de cemento, tabique y grava","19.48507246","-99.04610594","Nezahualcóyotl, Nezahualcóyotl"
"2044440","MATERIALES GONZALEZ","434211","Comercio al por mayor de cemento, tabique y grava","19.49336491","-99.05426669","Nezahualcóyotl, Nezahualcóyotl"
"7764889","MATERIALES INDUSTRIALES MICHAEL","434311","Comercio al por mayor de desechos metálicos","19.48770055","-99.05957047","Nezahualcóyotl, Nezahualcóyotl"
"2018983","MATERIALES PARA CONSTRUCCION","434211","Comercio al por mayor de cemento, tabique y grava","19.48950290","-99.05719326","Nezahualcóyotl, Nezahualcóyotl"
"8875936","MATERIALES PARA CONSTRUCCION SIN NOMBRE","434211","Comercio al por mayor de cemento, tabique y grava","19.49031829","-99.06701788","Nezahualcóyotl, Nezahualcóyotl"
"2048806","MISCELANEA CENTAURO","431110","Comercio al por mayor de abarrotes","19.49098220","-99.04759754","Nezahualcóyotl, Nezahualcóyotl"
