Id,Nombre Establecimiento,Id Sector Económico,Descripción del Sector Económico,Latitud,Longitud,Área Geográfica
9176230,ACCEESORIOS Y REPARACION,434225,Comercio al por mayor de equipo y material eléctrico,19.43009306,-99.13966058,"Cuauhtémoc, Cuauhtémoc"
8625692,ACCESORIOS Y CABLEADOS DE ELECTRONICA,434225,Comercio al por mayor de equipo y material eléctrico,19.4301059,-99.13975093,"Cuauhtémoc, Cuauhtémoc"
888131,ACERO BIJOUX,432120,"Comercio al por mayor de ropa, bisutería y accesorios de vestir",19.43263912,-99.13531354,"Cuauhtémoc, Cuauhtémoc"
873937,AG ELECTRONICA SA DE CV,434225,Comercio al por mayor de equipo y material eléctrico,19.43025715,-99.14081575,"Cuauhtémoc, Cuauhtémoc"
6845916,AMERICAN EAGLE Madero,432120,"Comercio al por mayor de ropa, bisutería y accesorios de vestir",19.43359562,-99.13145793,"Cuauhtémoc, Cuauhtémoc"
992837,ANUNCIOS DE NEON DE ACRÍLICO,434225,Comercio al por mayor de equipo y material eléctrico,19.43115669,-99.14262893,"Cuauhtémoc, Cuauhtémoc"
6304648,ARVI Y COMPAÑIA,434223,"Comercio al por mayor de envases en general, papel y cartón para la industria",19.43448162,-99.1350846,"Cuauhtémoc, Cuauhtémoc"
6863816,AU UNION AVANTI UA,433220,Comercio al por mayor de artículos de joyería y relojes,19.43342236,-99.13583972,"Cuauhtémoc, Cuauhtémoc"
1023088,AUROCORP,433220,Comercio al por mayor de artículos de joyería y relojes,19.433322,-99.13579658,"Cuauhtémoc, Cuauhtémoc"
891503,AVANCE TELEFONICO,434225,Comercio al por mayor de equipo y material eléctrico,19.43095654,-99.14032061,"Cuauhtémoc, Cuauhtémoc"
6323356,BACKER ALPE S DE RL DE CV,434225,Comercio al por mayor de equipo y material eléctrico,19.43256256,-99.15033949,"Cuauhtémoc, Cuauhtémoc"
8993110,BIPER IMPORTACIONES,434225,Comercio al por mayor de equipo y material eléctrico,19.430322,-99.14127233,"Cuauhtémoc, Cuauhtémoc"
8936966,BLUEPRINT TEXTILES,432111,"Comercio al por mayor de fibras, hilos y telas",19.43603685,-99.13461829,"Cuauhtémoc, Cuauhtémoc"
8859370,BODEGA,435319,Comercio al por mayor de maquinaria y equipo para otros servicios y para actividades comerciales,19.43438367,-99.13509391,"Cuauhtémoc, Cuauhtémoc"
7757041,BODEGA DE CAJAS,434223,"Comercio al por mayor de envases en general, papel y cartón para la industria",19.42984306,-99.12583315,"Cuauhtémoc, Cuauhtémoc"
7757042,BODEGA DE CARTON,434312,Comercio al por mayor de desechos de papel y de cartón,19.4295262,-99.12567881,"Cuauhtémoc, Cuauhtémoc"
992824,BODEGA DE COMSUMIBLES PARA COMPUTADORAS,435411,"Comercio al por mayor de mobiliario, equipo, y accesorios de cómputo",19.43041722,-99.14194484,"Cuauhtémoc, Cuauhtémoc"
6752552,BOLSAS TALIVAN,434240,Comercio al por mayor de artículos desechables,19.42341375,-99.12910242,"Cuauhtémoc, Cuauhtémoc"
8529694,BOLSAS TLALOC,434240,Comercio al por mayor de artículos desechables,19.43050759,-99.14128387,"Cuauhtémoc, Cuauhtémoc"
9139808,BOLSAS Y R0LL0S,434240,Comercio al por mayor de artículos desechables,19.42331895,-99.12843065,"Cuauhtémoc, Cuauhtémoc"
6258486,BOTONES ARCOIRIS,432111,"Comercio al por mayor de fibras, hilos y telas",19.43142561,-99.13702526,"Cuauhtémoc, Cuauhtémoc"
1001721,CAJAS DE SEGURIDAD Y MUEBLES DE OFICINA,435319,Comercio al por mayor de maquinaria y equipo para otros servicios y para actividades comerciales,19.43728105,-99.13670548,"Cuauhtémoc, Cuauhtémoc"
9190478,CANDILUX,434225,Comercio al por mayor de equipo y material eléctrico,19.43121175,-99.14189761,"Cuauhtémoc, Cuauhtémoc"
6305334,CASA  MARCHAND SA DE CV,433410,Comercio al por mayor de artículos de papelería,19.42790103,-99.12999589,"Cuauhtémoc, Cuauhtémoc"
1031243,CENTRAL DE CAJAS,434312,Comercio al por mayor de desechos de papel y de cartón,19.42334694,-99.12832115,"Cuauhtémoc, Cuauhtémoc"
1000445,CENTRO DE DISTRIBUCION NATURISTA,433110,Comercio al por mayor de productos farmacéuticos,19.42901469,-99.12519898,"Cuauhtémoc, Cuauhtémoc"
657805,CENTRO DE ILUMINACION ROCHA,434225,Comercio al por mayor de equipo y material eléctrico,19.43182615,-99.14215071,"Cuauhtémoc, Cuauhtémoc"
7755790,CHESSTEAMEX,435411,"Comercio al por mayor de mobiliario, equipo, y accesorios de cómputo",19.43389769,-99.14741671,"Cuauhtémoc, Cuauhtémoc"
6318597,CITIZEN DE MEXICO,433220,Comercio al por mayor de artículos de joyería y relojes,19.43201135,-99.13539471,"Cuauhtémoc, Cuauhtémoc"
992830,COMERCIAL ELECTRICA MIGUEL,434225,Comercio al por mayor de equipo y material eléctrico,19.43136505,-99.14294008,"Cuauhtémoc, Cuauhtémoc"
874021,COMERCIALIZADORA ADIAR TORRES SA DE CV,433312,Comercio al por mayor de juguetes y bicicletas,19.4386219,-99.13334251,"Cuauhtémoc, Cuauhtémoc"
658593,COMERCIALIZADORA ELECTRICA DM TECH,434225,Comercio al por mayor de equipo y material eléctrico,19.42779448,-99.1460708,"Cuauhtémoc, Cuauhtémoc"
6258666,COMERCIALIZADORA VELEZ,434112,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas",19.43151118,-99.13658547,"Cuauhtémoc, Cuauhtémoc"
9188605,COMPRA VENTA DE CINTURONES,432113,Comercio al por mayor de cueros y pieles,19.43405827,-99.12879691,"Cuauhtémoc, Cuauhtémoc"
9197265,COMPRA VENTA DE MATERIALELECTRICO DISTRIBUCIONES ELECTRICAS DELCENTRO,434225,Comercio al por mayor de equipo y material eléctrico,19.43075473,-99.14146709,"Cuauhtémoc, Cuauhtémoc"
8896378,COMPRA Y VENTA DE PEDACERIA DE ORO,433220,Comercio al por mayor de artículos de joyería y relojes,19.43473014,-99.1350574,"Cuauhtémoc, Cuauhtémoc"
6318205,COMPUMUNDO,435411,"Comercio al por mayor de mobiliario, equipo, y accesorios de cómputo",19.43094157,-99.14021886,"Cuauhtémoc, Cuauhtémoc"
889672,COPIADORAS DIGITALES Y SERVICIOS,435412,Comercio al por mayor de mobiliario y equipo de oficina,19.42663599,-99.12767102,"Cuauhtémoc, Cuauhtémoc"
1031121,CORDEMEX DEL CENTRO,434223,"Comercio al por mayor de envases en general, papel y cartón para la industria",19.42566402,-99.13110238,"Cuauhtémoc, Cuauhtémoc"
888069,DESARROLLO Y ESTRATEGÍA DE METALES S.A. DE C.V.,433220,Comercio al por mayor de artículos de joyería y relojes,19.43341563,-99.13579712,"Cuauhtémoc, Cuauhtémoc"
6256954,DIAMANTEX,435220,Comercio al por mayor de maquinaria y equipo para la industria manufacturera,19.43341558,-99.13648233,"Cuauhtémoc, Cuauhtémoc"
6304616,DISEÑO EN CADENA,433220,Comercio al por mayor de artículos de joyería y relojes,19.43328519,-99.13554515,"Cuauhtémoc, Cuauhtémoc"
999960,DISEÑOS ROSAS,435319,Comercio al por mayor de maquinaria y equipo para otros servicios y para actividades comerciales,19.42988218,-99.12650785,"Cuauhtémoc, Cuauhtémoc"
998920,DISTRIBUIDORA CHAYITO,432120,"Comercio al por mayor de ropa, bisutería y accesorios de vestir",19.43230275,-99.12788088,"Cuauhtémoc, Cuauhtémoc"
8242039,DISTRIBUIDORA DE CHILES SECOS Y SEMILLAS LA BODEGUITA,431150,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos",19.43250747,-99.1479473,"Cuauhtémoc, Cuauhtémoc"
998000,DISTRIBUIDORA DE PANTALONES,432120,"Comercio al por mayor de ropa, bisutería y accesorios de vestir",19.43292176,-99.12695149,"Cuauhtémoc, Cuauhtémoc"
9174446,DISTRIBUIDORA DE ROPA,432120,"Comercio al por mayor de ropa, bisutería y accesorios de vestir",19.43544667,-99.1267614,"Cuauhtémoc, Cuauhtémoc"
